Cod_Suer,ESTADO,ZAE,ZC,Suer,Edad,Variedad,Sac,Rend,Fecha,CICLO,Fecha_Cierre,TCH_REAL,Cort_Act,TCHM_R,Area_Actual,Cana_Ent,Ano,Mes,F_C_Ant,30_DAC,PST_0-4_Meses,PRC_4-9_Meses,0-15_DDC,16-30_DDC,31-45_DDC,46-60_DDC,61-75_DDC,76-90_DDC,91-105_DDC,106-120_DDC,121-135_DDC,136-150_DDC,151-165_DDC,166-180_DDC,181-195_DDC,196-210_DDC,211-225_DDC,226-240_DDC,241-255_DDC,256-270_DDC,271-285_DDC,30_DAC_Act
001_002A,PLANTILLA,10H5,6,002A,10.51,CC11605,17.4,12.497,8/08/2018,2,14/08/2018,76.69,1,7.297,1.99,152.6,2018,8,26/09/2017,98,563,887,54,72,54,125,38,65,134,21,44,233,30,119,169,28,43,53,39,128,40,66
001_002A,SOCA,10H5,6,002A,10.41,CC8592,14.764,10.379,27/04/2017,1,2/05/2017,100.75,6,9.678,1.99,200.5,2017,4,18/06/2016,72,158,766,6,24,6,2,2,27,13,78,77,42,68,136,41,80,75,47,75,68,132,116
001_002A,SOCA,10H5,6,002A,12.42,CC8592,14.551,10.139,13/06/2016,1,21/06/2016,113.02,5,9.1,1.99,224.9,2016,6,6/06/2015,87,109,393,11,0,11,46,0,0,31,10,24,101,71,42,6,2,17,0,17,6,124,72
001_002B,SOCA,10H5,6,002B,12.91,CC06783,16.197,11.338,5/07/2018,1,10/07/2018,75.03,4,5.811,1.2,90,2018,7,12/06/2017,98,308,677,21,0,21,3,79,15,80,89,49,50,127,19,51,105,19,30,24,205,22,64
001_002B,SOCA,10H5,6,002B,9.76,CC06783,14.62,10.234,6/06/2017,1,13/06/2017,89.01,3,9.12,1.2,106.8,2017,6,17/08/2016,10,438,682,14,39,14,69,45,28,97,132,31,46,68,30,67,97,101,30,101,66,146,162
001_002B,SOCA,10H5,6,002B,10.38,CC06783,14.654,10.137,12/08/2016,1,16/08/2016,95.09,2,9.161,1.2,114.1,2016,8,5/10/2015,46,321,455,61,118,61,62,7,0,12,0,6,100,41,47,43,101,31,71,59,4,11,9
001_002B,PLANTILLA,10H5,6,002B,12.94,CC06783,16.426,11.492,4/10/2015,1,6/10/2015,92.03,1,7.112,1.2,110.4,2015,10,10/09/2014,25,409,710,112,35,112,62,54,4,22,8,104,27,60,103,99,95,192,4,233,11,15,46
001_002B,SOCA,10H5,6,002B,12.78,CC8475,14.113,9.602,15/07/2014,0,22/07/2014,101.49,13,7.941,1.2,121.8,2014,7,26/06/2013,41,192,595,37,2,37,22,3,12,60,19,38,130,92,32,49,31,56,24,69,140,3,4
001_002B,SOCA,10H5,6,002B,10.22,CC8475,15.368,10.642,21/06/2013,0,26/06/2013,89.37,12,8.745,1.2,107.2,2013,6,18/08/2012,5,417,535,47,0,47,36,114,67,60,46,40,0,26,91,21,26,88,62,88,149,32,64
001_002B,SOCA,10H5,6,002B,10.78,CC8475,17.81,12.81,16/08/2012,0,22/08/2012,97.57,11,9.051,1.2,117.1,2012,8,27/09/2011,85,958,687,155,89,155,56,123,153,26,201,82,3,56,101,73,117,121,63,127,0,71,3
001_002B,SOCA,10H5,6,002B,15.77,CC8475,15.631,11.357,22/09/2011,0,27/09/2011,103.3,10,6.55,1.12,115.7,2011,9,5/06/2010,163,397,1257,36,79,36,109,0,55,40,42,104,146,208,163,111,93,66,56,66,115,195,116
001_002B,SOCA,10H5,6,002B,11.96,CC8475,14.267,9.63,30/05/2010,0,31/05/2010,92.7,9,7.751,1.12,103.8,2010,5,5/06/2009,55,242,519,12,73,12,3,7,32,55,48,103,93,55,138,27,40,25,0,25,38,0,209
001_002B,SOCA,10H5,6,002B,12.09,CC8475,15.33,10.52,30/05/2009,0,2/06/2009,105.31,8,8.711,1.14,120.1,2009,5,1/06/2008,246,395,828,36,26,36,17,75,89,26,90,32,88,90,165,79,84,64,80,68,51,95,105
001_002B,SOCA,10H5,6,002B,10.81,CC8475,14.58,10.6,1/06/2008,0,17/06/2008,96.39,8,8.917,1.14,109.9,2008,6,12/07/2007,95,672,719,92,18,92,34,38,119,101,178,73,27,79,27,65,32,164,52,161,94,106,267
001_002B,SOCA,10H5,6,002B,12.45,CC8475,15.99,11.9,3/07/2007,0,23/07/2007,82.31,7,6.611,1.14,93.8,2007,7,24/06/2006,108,200,812,17,20,17,21,11,40,10,64,77,204,62,164,35,25,68,27,78,8,142,16
001_002B,SOCA,10H5,6,002B,13.08,CC8475,15.36,10.77,20/06/2006,0,30/06/2006,88.82,6,6.79,1.14,101.3,2006,6,23/05/2005,204,88,855,20,12,20,0,22,0,6,8,71,54,84,125,54,168,43,115,53,63,78,117
001_002B,SOCA,10H5,6,002B,15.38,CC8475,15.65,10.92,18/05/2005,0,10/06/2005,70.19,5,4.564,1.72,120.7,2005,5,11/02/2004,13,559,373,15,85,15,48,227,106,50,13,20,6,17,0,4,17,9,98,10,126,76,222
001_002C,SOCA,10H5,6,002C,13.47,CC011940,16.26,11.137,26/03/2018,1,3/04/2018,116.66,5,8.661,4.63,540.1,2018,3,14/02/2017,122,757,487,97,138,97,31,71,222,47,54,57,0,23,42,42,22,76,109,79,62,54,142
